com_code,Revenue_19,OperatingIncomeLoss_19,com_netincome_19,CostOfSales_19,Expenses_19,Equity_19,Assets_19,Liabilities_19,CurrentAssets_19,Inventories_19,CurrentLiabilities_19,IssuedCapital_19,CapitalSurplus_19,RetainedEarnings_19
00550994,189844257361.0,30172842156.0,23426000000.0,103062886125.0,56608529080.0,201091287677.0,270042337845.0,68951050168.0,128983376805.0,31672977571.0,41791912296.0,6868619000.0,45706209344.0,154346570959.0
00439965,48892960511.0,5143898408.0,5801000000.0,29575322225.0,14173739878.0,93787589861.0,101893569315.0,8105979454.0,74512856078.0,37755143939.0,5326866553.0,5424166500.0,37741815957.0,51427316730.0
00136226,453654135633.0,10347058064.0,5282000000.0,405439657883.0,36497302175.0,133804558635.0,348684313367.0,214879754732.0,143602350394.0,26432277783.0,167089951985.0,12088550500.0,12048303124.0,105425471459.0
00370918,48784053268.0,6421048293.0,7492000000.0,36218014732.0,6144990243.0,77268625212.0,83290088986.0,6021463774.0,39572805844.0,10643763758.0,3098389034.0,2017400000.0,18665147240.0,57597066871.0
00305297,285258695589.0,33129376600.0,30761000000.0,214132604286.0,37996714703.0,317940393712.0,353091371632.0,35150977920.0,242090362587.0,58761602981.0,31481471285.0,7787276000.0,62522079535.0,239992539724.0
00306719,337971673524.0,17480871498.0,17200000000.0,289525751594.0,30965050432.0,153991875357.0,213913142261.0,59921266904.0,169228832700.0,39582019753.0,54255969264.0,5455000000.0,10166773474.0,157103279370.0
00165583,4608269823064.0,106309924596.0,-43167000000.0,4219075198829.0,282884699639.0,1203288795181.0,3594979133031.0,2391690337850.0,1412056938744.0,459946042954.0,1102875721932.0,34300000000.0,9468537763.0,1134114424812.0
00128315,1494980608036.0,36197018758.0,33948000000.0,1422989322293.0,35794266985.0,331498692532.0,559512184799.0,228013492267.0,297956504818.0,60963222655.0,153690912707.0,8309261000.0,50618604670.0,108421472860.0
00664181,117971769760.0,8220446104.0,8011000000.0,62184008474.0,47567315182.0,84988478314.0,143973596095.0,58985117781.0,76009846035.0,20096446541.0,27676478385.0,3770251000.0,41701310475.0,43189912600.0
00128555,3461627492922.0,85565315738.0,37822000000.0,3098981460672.0,277080716512.0,1392949320329.0,3912362194864.0,2519412874535.0,1315726675298.0,28771084906.0,973326768730.0,20275125000.0,-30234832608.0,1290606684111.0
00427483,1113425920883.0,44687096858.0,22006000000.0,635132493527.0,324165830437.0,635920094471.0,1245668149263.0,609748054792.0,526256346628.0,177609255572.0,262080185563.0,28966437500.0,96705421479.0,445415030356.0
00105271,2719563984151.0,133209522238.0,-222525000000.0,2080778154377.0,505576307536.0,4453226856338.0,9382221503013.0,4928994646675.0,2059589238830.0,481101854114.0,2916784567953.0,56434870000.0,468169016972.0,5132070632881.0
00377610,4930662596032.0,89528018488.0,30822000000.0,4669457026740.0,171677550804.0,3032378479611.0,5456657504692.0,2424279025081.0,2326282241647.0,1161220665629.0,1362858407755.0,20000000000.0,342827107129.0,1604392655027.0
00219574,468352868367.0,-7332326290.0,-13905000000.0,406430032972.0,69255161685.0,355990101706.0,892716238226.0,536726136520.0,235347999808.0,77770872087.0,437493004772.0,4801960500.0,236185273523.0,99443601051.0
00102751,192457070597.0,5812227924.0,4729000000.0,160141445165.0,15455407085.0,95822998593.0,206489849711.0,110666851118.0,109391247960.0,29120581074.0,95162935419.0,24939425000.0,2306078534.0,68898140251.0
00256043,51733795622.0,6572137297.0,5679000000.0,27667028999.0,17494629326.0,97262275822.0,172776344815.0,75514068993.0,43310713656.0,23473078597.0,40760137569.0,1601663760.0,32724600817.0,60461372101.0
00178851,212129296950.0,2767921186.0,2176000000.0,198379169937.0,10982205827.0,54368157725.0,144962082668.0,90593924943.0,82737461978.0,29781926210.0,71090688793.0,5000000000.0,6009253939.0,41587561665.0
00220622,64884055746.0,12245032509.0,15313000000.0,41458542247.0,11180480990.0,74983409717.0,93141622082.0,18158212365.0,43034117876.0,9256857141.0,16996174692.0,2575000000.0,6159775433.0,66137645046.0
00296263,19220153574.0,2753403099.0,1979000000.0,11721128360.0,4745622115.0,71215403696.0,112413216569.0,41197812873.0,67643376858.0,1458471100.0,17510413134.0,5677684000.0,12592334042.0,61489678752.0
00166315,1164322416812.0,1942106126.0,6641000000.0,1090492355419.0,71887955267.0,299726758366.0,808403060806.0,508676302440.0,370213538925.0,117405872766.0,383081095724.0,17460205000.0,4899151185.0,293549521041.0
00165060,142113513119.0,14922324990.0,12890000000.0,105008590678.0,22182597451.0,349045500124.0,381305426357.0,32259926233.0,269227063426.0,68718774281.0,18771110270.0,6806616000.0,23843597638.0,311115897827.0
00129350,254537566886.0,37278333214.0,29819000000.0,193540771277.0,23718462395.0,153895156314.0,214833603174.0,60938446860.0,101407330948.0,23078488394.0,53405414959.0,10395000000.0,4514451812.0,131941439173.0
00131197,257673136367.0,7969509597.0,3106000000.0,240194730309.0,9508896461.0,107664342823.0,221983443098.0,114319100275.0,91524629322.0,56361162215.0,104790340546.0,23737295000.0,24604717921.0,27124547771.0
00260408,1164970052153.0,20207651634.0,-8279000000.0,1016978390021.0,127784010498.0,299970907953.0,979237806149.0,679266898196.0,443249612594.0,111228808100.0,632098904415.0,18363971500.0,101047327388.0,215278716673.0
00170877,88418165158.0,16490054365.0,14257000000.0,68878271758.0,3049839035.0,79395895946.0,91083609800.0,11687713854.0,55138122884.0,12257460446.0,8178775314.0,3533010000.0,56400570.0,96542921694.0
00188089,1259801685199.0,106549798864.0,85261000000.0,508407455969.0,644844430366.0,1045554282487.0,1323644544934.0,278090262447.0,719847891277.0,447593653037.0,218044654314.0,12315000000.0,122204783737.0,948787187455.0
00664048,73657576436.0,2817909297.0,1934000000.0,55148219485.0,15691447654.0,71947147592.0,94123632804.0,22176485212.0,67259334246.0,15288605914.0,22087433242.0,4568472000.0,26148672773.0,42131884719.0
00102113,358802385700.0,23555055195.0,16373000000.0,274054354129.0,61192976376.0,237433140599.0,472081003161.0,234647862562.0,251884674495.0,141253404314.0,192593605867.0,20393182500.0,38674261647.0,159297908344.0
00551920,83240333171.0,22960501475.0,19245000000.0,23136103757.0,37143727939.0,105692613892.0,122741537389.0,17048923497.0,101680178785.0,5840463982.0,12831106294.0,4103680500.0,45133180903.0,59084551927.0
00305668,152727147693.0,-3822325306.0,-8321000000.0,142337472349.0,14212000650.0,212975338468.0,255546739423.0,42571400955.0,140725991964.0,15191330372.0,26268769697.0,9600000000.0,9620241729.0,196756436103.0
00172936,354691269674.0,-979068265.0,3751000000.0,339048632346.0,16621705593.0,353804848260.0,404853414806.0,51048566546.0,274097270028.0,72780359125.0,39206478101.0,12126075000.0,14534660385.0,342158640036.0
00176516,209435313758.0,34327290781.0,27683000000.0,165793394095.0,9314628882.0,239409630901.0,281692945907.0,42283315006.0,184009182983.0,1217558147.0,38745094728.0,3000000000.0,6535279184.0,230046721916.0
00937324,6883268577435.0,543964831621.0,419513000000.0,4961117130614.0,1183210434541.0,7187217113570.0,10164607903070.0,2977390789500.0,4113714818383.0,1725393474983.0,2131084242262.0,61937534500.0,2971745780697.0,4343703619857.0
00161976,2770973542736.0,97679104732.0,3148000000.0,2090587823583.0,582706614421.0,595905875107.0,1731430277344.0,1135524402237.0,994303227429.0,407615876008.0,946918113210.0,20000000000.0,2655888105.0,253650421281.0
00463342,46489682257.0,3794649404.0,15227000000.0,33488948710.0,9206084143.0,102720349266.0,116425610938.0,13705261672.0,66070800821.0,13631348494.0,11558919305.0,5949131500.0,30491270425.0,68780661008.0
00126779,191124194318.0,6440918806.0,4952000000.0,172668595223.0,12014680289.0,108828285164.0,208472995235.0,99644710071.0,79086803257.0,43572905597.0,86372598004.0,5500000000.0,4750459800.0,98577825364.0
01032413,381400317567.0,27024997834.0,18332000000.0,324346848229.0,30028471504.0,208538116868.0,326587242970.0,118049126102.0,127523421568.0,48364200982.0,88484843665.0,85000000000.0,21792519669.0,101748973805.0
00154462,6284255176037.0,498249817871.0,133733000000.0,1641834345611.0,4144171012555.0,6480146830239.0,8281393134177.0,1801246303938.0,2905906252318.0,524543689212.0,1225875538217.0,47997075000.0,-21656351416.0,2648285672923.0
00656951,82316729867.0,9407462886.0,4691000000.0,41680693676.0,31228573305.0,36374615787.0,90207539154.0,53832923367.0,55404587550.0,2964019915.0,51840889471.0,5495554500.0,16277665748.0,23645581140.0
00125938,367007847029.0,45664518560.0,28761000000.0,279280093999.0,42063234470.0,393203381981.0,530767248625.0,137563866644.0,130316805662.0,25310450022.0,68368208847.0,8085000000.0,3165053413.0,344455658440.0
00256380,408486202801.0,8864171288.0,8283000000.0,382240125700.0,17381905813.0,169630749267.0,211559224811.0,41928475544.0,105519181529.0,16562904671.0,27102375972.0,11142469000.0,27810185521.0,137315733826.0
00132318,202365162366.0,6972727881.0,6167000000.0,165855632312.0,29536802173.0,439264456574.0,502049444265.0,62784987691.0,243293199432.0,129014760606.0,23703885973.0,14300000000.0,3959250423.0,434572053929.0
00407771,31808599406.0,-2468694648.0,-2956000000.0,23400816681.0,10876477373.0,27335489300.0,32605732657.0,5270243357.0,13457325425.0,4670232306.0,4711293366.0,5984020000.0,9326141058.0,16239949739.0
00184667,1457764778230.0,128015520537.0,19602000000.0,1185559842194.0,144189415499.0,791395225729.0,4527888217431.0,3736492991702.0,411657733202.0,8568572564.0,637154244028.0,38655431500.0,482336722052.0,264364492467.0
01032404,438905517930.0,74075199972.0,54484000000.0,343895338936.0,19576372473.0,254551408668.0,386373979056.0,131822570388.0,207420157897.0,48569279106.0,116137192600.0,14771779000.0,23378592429.0,214480948714.0
00164502,166710367419.0,3354150616.0,4097000000.0,153963120700.0,9393096103.0,101894577894.0,141735192079.0,39840614185.0,95563887266.0,6969274421.0,37049305775.0,7670000000.0,15296403616.0,81759309963.0
00145598,131557875304.0,7898092876.0,5940000000.0,57296352723.0,66363429705.0,222291597722.0,274482251833.0,52190654111.0,131584785641.0,24006260584.0,33034527455.0,8385000000.0,13831805884.0,203998991625.0
00106368,4977931637637.0,367758876376.0,294601000000.0,4412486023355.0,197686737906.0,2629571508396.0,4538042397798.0,1908470889402.0,1261435503491.0,469472369067.0,1275639574023.0,167455885000.0,356465907661.0,2186700559548.0
00797364,300551682231.0,8504680068.0,1931000000.0,265505938554.0,26541063609.0,76228698374.0,332019580962.0,255790882588.0,240910194305.0,30656330739.0,215464035545.0,6500000000.0,-2965859690.0,32950127257.0
00144395,502235935419.0,38471985738.0,136936000000.0,418423975726.0,45339973955.0,1351941869855.0,1478277015581.0,126335145726.0,729818738168.0,32354661823.0,55883838311.0,49850000000.0,-2858921712.0,1227763133955.0
00360595,18270050465618.0,876537578535.0,502323000000.0,16903573993032.0,489938894051.0,4670280114445.0,10129735810035.0,5459455695590.0,5054300918433.0,1033140640024.0,3413465073270.0,18750000000.0,153618863259.0,4492540373793.0
00398668,87987307040.0,11721880676.0,8334000000.0,51650822560.0,24614603804.0,94432554727.0,151897854444.0,57465299717.0,53284869048.0,22912351583.0,34478031577.0,5941435500.0,13115580480.0,74428612803.0
