com_code,com_name,com_induty_code
00550994,**이센스,27112
00439965,**노신소재,2049
00136226,**성델타테크,28519
00370918,**이디켐,2049
00305297,**텍,26519
00306719,**스텍,26529
00165583,**1,46713
00128315,**지전자,2642
00664181,**텔리안테크놀로지스,26429
00128555,**천리,35200
00427483,**웅제약,212
00105271,**이씨씨,20411
00377610,**아홀딩스,241
00219574,**스맥스비티아이,64992
00102751,**려산업,10620
00256043,**씨월드제약,21210
00178851,**양에스텍,24121
00220622,**호전기,28123
00296263,**이더블유 주식회사,468
00166315,**신,30391
00165060,**이록코리아,241
00129350,**화콘덴서공업,26291
00131197,**원,24322
00260408,**스코,106
00170877,**로발효,11121
00188089,**섬,14112
00664048,**리넷,2641
00102113,**인양행,20132
00551920,**오팜,20423
00305668,**론오토모티브,303
00172936,**일산업,24113
00176516,**화피에스시,423
00937324,**국타이어앤테크놀로지,22111
00161976,**세예스24홀딩스,1419
00463342,**스텍파마,212
00126779,**아알미늄,24222
01032413,**성디에스,262
00154462,**모레퍼시픽그룹,20423
00656951,**지웰,58222
00125938,**보판지,171
00256380,**아이엘,2629
00132318,**광벤드,24133
00407771,**오백,32091
00184667,**진기업,23322
01032404,**마비앤에이치,211
00164502,**대공업,303
00145598,**연제약,212
00106368,**호석유화학,201
00797364,**이씨코트렐,291
00144395,**서,4632
00360595,**대글로비스,5299
00398668,**비츠,27199
00231707,**트컴퓨터,58221
00133858,**방전지,28202
00165343,**인,465
00398701,**앤에프,28202
00120021,**G,64992
01063990,**보로보,289
00156354,**엠비코리아,303
00113234,**한제당,106
00160232,**이에스에스 해운,50112
00131692,**흥,2049
00125743,**대비앤지스틸,24122
00445799,**원인텍,2642
00141556,**로라월드,73203
00126201,**성공조,30399
00549891,**어젠,211
00225706,**이더블유생명과학,21210
00226316,**전실업 주식회사,14199
01074862,**가스터디교육,85503
01009789,**스맥스,20423
00365758,**이앤씨테크놀로지,2611
00287788,**상제이엘에스,8550
00228536,**버다임,29241
00242934,**이엠,139
00157070,**국단자공업,2812
00371485,**트로닉스,204
01093007,**에스전선 아시아 주식회사,64992
00130684,**울도시가스,35200
00146269,**신방직,13101
00916516,**국에프엔비,11209
00524786,**엠티,29133
00529815,**디텍,2612
00298340,**스티아이,29271
00267979,**일화학공업,201
00520887,**상교육,5811
