ZCRm,Energym,EnergyEntropym,SpectralCentroidm,SpectralEntropym,MFCCs1m,MFCCs2m,ChromaVector1m,ChromaDeviationm,EnergyEntropystd,SpectralCentroidstd,SpectralSpreadstd,SpectralEntropystd,SpectralFluxstd,SpectralRolloffstd,MFCCs1std,ChromaVector1std,BPM,class
0.136439588,0.08886126,3.201200556,0.262825496,1.114422929,-22.72325934,1.594073996,0.011580713,0.0321852,0.102995124,0.041284583,0.017725492,0.414830555,0.005866813,0.133777637,0.83830234,0.013137505,128,BigRoom
0.117038518,0.108389033,3.194001063,0.247657408,1.065668092,-21.77587065,1.261364242,0.006535452,0.041115568,0.099449249,0.03938563,0.01894582,0.407164154,0.003612812,0.110333941,0.624185027,0.006761001,126,BigRoom
0.085307774,0.128525419,3.123837347,0.217204829,0.789646506,-22.47272216,1.42518502,0.007143161,0.066048772,0.117703668,0.041508671,0.022644919,0.340130451,0.007696719,0.085784396,1.028739561,0.007835971,129,BigRoom
0.103049917,0.167041735,3.150830069,0.233593067,0.967082277,-21.4707514,1.463686147,0.010723512,0.046159269,0.134908042,0.03256354,0.02003643,0.365067765,0.005215346,0.086336416,0.769981317,0.008330384,129,BigRoom
0.151729949,0.148404714,3.194497946,0.293730035,1.353005279,-21.37115654,1.187853846,0.009624409,0.036760757,0.122270917,0.036637306,0.017732051,0.458739647,0.002900332,0.148463806,1.023153737,0.010859584,129,BigRoom
0.127046737,0.15348785,3.221987103,0.261692903,1.090034352,-21.23484605,1.541916656,0.009467058,0.041917948,0.073129251,0.0439292,0.019323204,0.46187073,0.003706624,0.138257282,0.872498317,0.00959946,129,BigRoom
0.123395302,0.106206061,3.167860665,0.245459381,1.107315579,-22.68373761,1.405071541,0.014485117,0.03449609,0.121416191,0.036895029,0.019332297,0.368052479,0.00709764,0.100008597,0.861204914,0.016256745,133,BigRoom
0.140027382,0.084696928,3.148168074,0.267148442,1.188881058,-22.70707684,1.46804465,0.007845496,0.039542343,0.112595052,0.042650625,0.018278608,0.376240026,0.006253249,0.148667123,0.898669549,0.007714744,129,BigRoom
0.117635201,0.146971703,3.182842371,0.24368504,1.099032578,-20.83781534,1.456354626,0.009714937,0.036167094,0.093086496,0.029530757,0.016448423,0.331669164,0.003249636,0.083071274,0.637532751,0.0094419,133,BigRoom
0.137400181,0.127165867,3.11755417,0.297955996,1.076697577,-22.96299202,1.70580405,0.007936331,0.043038527,0.180277304,0.057455471,0.020675387,0.530818319,0.00547873,0.197681421,1.312354166,0.008389638,133,BigRoom
0.148838734,0.162450633,3.235864734,0.272023823,1.39547135,-20.6472486,0.933835331,0.010070021,0.031999897,0.058530954,0.039588032,0.0201922,0.405706419,0.002327292,0.124306737,0.605286677,0.009522428,128,BigRoom
0.11984675,0.10877471,3.233345256,0.23888467,1.123364498,-21.68319523,1.402161557,0.011683005,0.027430634,0.064978143,0.031226716,0.018847388,0.290519563,0.002716952,0.070822866,0.559128762,0.00969981,129,BigRoom
0.078681365,0.168709341,3.143422827,0.219163958,0.600306924,-22.15888,2.025038786,0.011058191,0.058332247,0.1199926,0.059215121,0.031082813,0.354341212,0.015084129,0.101865484,1.071744757,0.013180566,125,BigRoom
0.138335144,0.142141173,3.185257038,0.273716764,1.331840491,-21.86604648,0.519861459,0.005425156,0.05468362,0.073150318,0.046397571,0.023103541,0.365113393,0.005258807,0.109011644,0.597837824,0.007165984,129,BigRoom
0.101304208,0.126928849,3.165798374,0.230918233,0.985194324,-21.77051937,1.385167549,0.013386724,0.046109676,0.12715534,0.031040554,0.013438353,0.381370669,0.004632293,0.093591519,0.767944382,0.01198819,131,BigRoom
