company,condition,street,type,code,code_name,total_cnt,amt,new_cnt,loss_cnt
삼성전자(주),1,경기도 수원시 영통구 매탄동,1,323001,비디오 및 기타 영상 기기 제조업,103250,44041891900,1329,440
현대자동차(주),1,서울특별시 서초구 양재동,1,341001,화물 자동차 및 특수 목적용 자동차 제조업,67846,28633518000,253,241
엘지전자(주),1,서울특별시 영등포구 여의도동,1,293001,주방용 전기 기기 제조업,40201,16477762420,157,217
에스케이하이닉스 주식회사,1,경기도 이천시 부발읍,1,300100,컴퓨터 제조업,27828,11574140540,136,126
(주)이마트,1,서울특별시 성동구 성수동2가,1,521911,기타 대형 종합 소매업,27414,6386628020,523,324
엘지디스플레이(주),1,서울특별시 영등포구 여의도동,1,321000,기타 반도체 소자 제조업,26825,11336706000,180,99
삼성디스플레이(주),1,경기도 용인시 기흥구 농서동,1,323001,비디오 및 기타 영상 기기 제조업,23348,10000116660,113,125
주식회사 케이티,1,경기도 성남시 분당구 정자동,1,642001,무선 및 위성 통신업,22724,9710283580,49,97
한국전력공사,1,전라남도 나주시 빛가람동,1,401000,태양력 발전업,22537,8918895080,43,96
홈플러스(주),1,서울특별시 강서구 등촌동,1,522071,기타 음ㆍ식료품 위주 종합 소매업,21686,4657510960,117,199
(주)엘지화학,1,서울특별시 영등포구 여의도동,1,241302,합성수지 및 기타 플라스틱 물질 제조업,20532,8511804780,13,42
대한항공(주),1,서울특별시 강서구 공항동,1,621000,항공 여객 운송업,18142,7448366920,96,579
(주)포스코,1,경상북도 포항시 남구 괴동동,1,271101,제철업,17417,7387857560,45,80
한국철도공사,1,대전광역시 동구 소제동,1,601000,도시철도 운송업,17195,5870655620,82,38
국민은행(주),1,서울특별시 영등포구 여의도동,1,659900,기타 금융 투자업,16935,6935039420,77,125
농협은행주식회사,1,서울특별시 중구 충정로1가,1,659201,국내은행,16743,6452041440,169,135
서울교통공사,1,서울특별시 성동구 용답동,1,601000,도시철도 운송업,16453,6548110840,61,71
스타벅스커피코리아(주),1,서울특별시 중구 소공동,1,512273,커피 및 차류 도매업,15954,2525880300,236,377
국민건강보험공단,1,강원도 원주시 반곡동,1,672000,보험 대리 및 중개업,15268,5479489440,48,106
(주)우리은행,1,서울특별시 중구 회현동1가,1,659201,국내은행,14258,5766149920,66,60
(주)신한은행,1,서울특별시 중구 태평로2가,1,659201,국내은행,13547,5478181140,221,68
현대중공업주식회사,1,울산광역시 동구 전하동,1,351103,선박 구성 부분품 제조업,13433,5588624640,17,68
롯데쇼핑(주)롯데마트사업본부,1,서울특별시 송파구 신천동,1,521910,백화점,12895,2904010560,60,99
중소기업은행,1,서울특별시 중구 을지로2가,1,659201,국내은행,12522,5058759020,69,86
삼성에스디에스(주),1,서울특별시 송파구 신천동,1,722000,응용 소프트웨어 개발 및 공급업,12520,5419496300,26,28
기아자동차(주)화성공장,1,경기도 화성시 우정읍,1,341001,화물 자동차 및 특수 목적용 자동차 제조업,12454,5422062740,10,15
한국수력원자력(주),1,경상북도 경주시 양북면,1,401000,태양력 발전업,12340,5029026320,50,62
주식회사 하나은행,1,서울특별시 중구 을지로1가,1,659201,국내은행,12214,5062911480,101,120
삼성전기(주),1,경기도 수원시 영통구 매탄동,1,300100,컴퓨터 제조업,11588,4781356080,98,67
삼성SDI(주),1,경기도 용인시 기흥구 공세동,1,321000,기타 반도체 소자 제조업,11082,4454846960,37,211
주식회사 아성다이소,1,서울특별시 강남구 도곡동,1,521100,슈퍼마켓,11052,1887986500,165,432
(주)삼구아이앤씨,1,서울특별시 중구 수표동,1,749300,건축물 일반 청소업,10412,2536176340,399,421
주식회사 유베이스,1,서울특별시 용산구 용산동5가,1,749939,그 외 기타 분류 안된 전문  과학 및 기술 서비스업,10186,1739651200,973,647
(주)엘지유플러스,1,서울특별시 용산구 한강로3가,1,642001,무선 및 위성 통신업,10181,3861239020,34,78
