date,line,station_code,station,type,cnt
2019-01-01,2호선,201,시청,승차,8479
2019-01-01,2호선,201,시청,하차,6163
2019-01-01,2호선,202,을지로입구,승차,22545
2019-01-01,2호선,202,을지로입구,하차,21390
2019-01-01,2호선,203,을지로3가,승차,8167
2019-01-01,2호선,203,을지로3가,하차,7615
2019-01-01,2호선,204,을지로4가,승차,3919
2019-01-01,2호선,204,을지로4가,하차,3789
2019-01-01,2호선,205,동대문역사문화공원,승차,11610
2019-01-01,2호선,205,동대문역사문화공원,하차,12434
2019-01-01,2호선,206,신당,승차,6862
2019-01-01,2호선,206,신당,하차,7379
2019-01-01,2호선,207,상왕십리,승차,5774
2019-01-01,2호선,207,상왕십리,하차,6013
2019-01-01,2호선,208,왕십리(성동구청),승차,9489
2019-01-01,2호선,208,왕십리(성동구청),하차,8457
2019-01-01,2호선,209,한양대,승차,2368
2019-01-01,2호선,209,한양대,하차,2780
2019-01-01,2호선,210,뚝섬,승차,4992
2019-01-01,2호선,210,뚝섬,하차,5320
2019-01-01,2호선,211,성수,승차,7952
2019-01-01,2호선,211,성수,하차,8573
2019-01-01,2호선,212,건대입구,승차,29448
2019-01-01,2호선,212,건대입구,하차,30162
2019-01-01,2호선,213,구의(광진구청),승차,10206
2019-01-01,2호선,213,구의(광진구청),하차,10333
2019-01-01,2호선,214,강변(동서울터미널),승차,29464
2019-01-01,2호선,214,강변(동서울터미널),하차,27366
2019-01-01,2호선,215,잠실나루,승차,5103
2019-01-01,2호선,215,잠실나루,하차,5353
2019-01-01,2호선,216,잠실(송파구청),승차,48669
2019-01-01,2호선,216,잠실(송파구청),하차,43094
2019-01-01,2호선,217,잠실새내,승차,11119
2019-01-01,2호선,217,잠실새내,하차,11580
2019-01-01,2호선,218,종합운동장,승차,4311
2019-01-01,2호선,218,종합운동장,하차,4012
2019-01-01,2호선,219,삼성(무역센터),승차,25168
2019-01-01,2호선,219,삼성(무역센터),하차,24587
2019-01-01,2호선,220,선릉,승차,11661
2019-01-01,2호선,220,선릉,하차,9860
2019-01-01,2호선,221,역삼,승차,10458
2019-01-01,2호선,221,역삼,하차,10651
2019-01-01,2호선,222,강남,승차,38872
2019-01-01,2호선,222,강남,하차,36712
2019-01-01,2호선,223,교대(법원.검찰청),승차,9014
