company,condition,street,type,code,code_name,total_cnt,amt,new_cnt,loss_cnt
희성전자(주),1,서울특별시 용산구 한남동,1,701201,비주거용 건물 임대업(점포  자기땅),497,199600660,0,1
SK건설(주),1,서울특별시 종로구 관훈동,1,451200,기타 토목 시설물 건설업,4486,1842156540,36,57
(주)태영건설,1,경기도 고양시 일산동구 장항동,1,451101,아파트 건설업,1383,558350920,34,13
신원종합개발(주),1,경기도 화성시 봉담읍,1,451200,기타 토목 시설물 건설업,104,38985000,1,7
우지기업(주),1,서울특별시 종로구 내자동,1,749300,건축물 일반 청소업,413,68284660,22,18
(주)비와이씨,1,서울특별시 영등포구 대림동,1,181201,가죽의복 제조업,526,122936560,3,16
(재)서울기독교청년회유지재단,1,서울특별시 종로구 종로2가,1,701201,비주거용 건물 임대업(점포  자기땅),146,36938560,0,0
한국해운조합,1,서울특별시 강서구 등촌동,1,749926,,223,75296300,3,0
한국대학생선교회(재),1,서울특별시 종로구 부암동,1,999999,BIZ_NO미존재사업장,792,117630440,1,5
산림조합중앙회,1,서울특별시 송파구 삼전동,1,20100,임업용 종묘 생산업,141,57788660,0,1
제일의료재단제일병원,1,서울특별시 중구 묵정동,1,851101,요양병원,104,34438800,4,3
(주)샤프에비에이션케이,1,서울특별시 종로구 서린동,1,630909,그 외 기타 분류 안된 운송관련 서비스업,1004,238552600,2,15
에스지생활안전 주식회사,1,경기도 평택시 유천동,1,251901,산업용 그 외 비경화 고무제품 제조업,154,43987860,1,1
(재)한국의류시험연구원,1,서울특별시 동대문구 용두동,1,742202,기타 기술 시험  검사 및 분석업(기술지도사),494,157280680,9,32
(주)메디카코리아,1,서울특별시 서초구 방배동,1,242301,완제 의약품 제조업,125,34537840,4,0
(주)부래당,1,서울특별시 성동구 성수동2가,1,181201,가죽의복 제조업,217,49446080,1,3
서울개인택시조합,1,서울특별시 송파구 신천동,1,602201,택시 운송업,134,46773900,0,0
도선여객(주),1,서울특별시 강남구 개포동,1,602204,시내버스 운송업 / 시외버스 운송업,296,101029700,0,3
우신운수(주),1,서울특별시 서초구 방배동,1,602103,시내버스 운송업,198,65397160,2,0
(주)니프코코리아,1,충청남도 아산시 둔포면,1,252901,포장용 플라스틱 성형용기 제조업,629,265133300,7,2
(주)헤럴드,1,서울특별시 용산구 후암동,1,221200,잡지 및 정기 간행물 발행업,310,109747720,7,3
연합뉴스(주),1,서울특별시 종로구 수송동,1,221200,잡지 및 정기 간행물 발행업,859,355704920,4,6
백남관광(주),1,서울특별시 중구 을지로1가,1,551001,호텔업,141,41937120,0,0
한국투자증권(주),1,서울특별시 영등포구 여의도동,1,671900,그 외 기타 금융 지원 서비스업,2691,1081494060,21,22
한국수출입은행,1,서울특별시 영등포구 여의도동,1,671900,그 외 기타 금융 지원 서비스업,1147,458234340,6,8
(주)상상인증권,1,서울특별시 강남구 대치동,1,671202,증권 중개업,116,40267360,1,1
(주)동방아그로,1,서울특별시 관악구 남현동,1,242102,화학 살균ㆍ살충제 및 농업용 약제 제조업,143,50280920,2,1
(주)신흥,1,서울특별시 중구 중림동,1,331100,전기식 진단 및 요법 기기 제조업,197,56474300,5,1
서울상공회의소,1,서울특별시 중구 남대문로4가,1,701201,비주거용 건물 임대업(점포  자기땅),275,110743220,2,3
새마을금고중앙회,1,서울특별시 강남구 삼성동,1, ,,910,371456740,1,1
동국제약(주),1,서울특별시 강남구 대치동,1,242301,완제 의약품 제조업,1022,346318220,11,17
미래통합당,1,서울특별시 영등포구 영등포동7가,1,999999,BIZ_NO미존재사업장,134,49002120,22,2
이수건설 주식회사,1,서울특별시 서초구 반포동,1,451200,기타 토목 시설물 건설업,279,106040160,3,3
가평교통 주식회사,1,경기도 가평군 가평읍,1,602102,시외버스 운송업,114,35189840,2,0
한국마사회,1,경기도 과천시 주암동,1,924200,실내 경기장 운영업,5582,778886840,9,71
(재)FITI시험연구원,1,서울특별시 강서구 마곡동,1,742201,기타 기술 시험  검사 및 분석업,563,179144100,9,11
에이프로젠제약 주식회사,1,서울특별시 송파구 방이동,1,242301,완제 의약품 제조업,104,28606960,2,1
이화전기공업(주),1,서울특별시 강남구 논현동,1,311002,전동기 및 발전기 제조업,151,48477520,4,3
대한상운(주),1,서울특별시 성동구 성수동1가,1,602201,택시 운송업,162,26362620,3,9
삼원정공(주),1,경기도 광주시 도척면,1,289901,금속선 가공제품 제조업,107,29239860,1,2
우일정보기술(주),1,서울특별시 동대문구 용두동,1,452101,미장  타일 및 방수 공사업,208,50752400,18,10
대경티엘에스(주),1,경기도 안산시 단원구 성곡동,1,602302,일반 화물 자동차 운송업,108,26568860,0,2
(주)카스,1,경기도 양주시 광적면,1,291901,일반 저울 제조업,330,92425660,5,10
대신정보통신(주),1,서울특별시 금천구 가산동,1,722000,응용 소프트웨어 개발 및 공급업,559,173822620,33,16
(주)경농,1,서울특별시 서초구 서초동,1,242102,화학 살균ㆍ살충제 및 농업용 약제 제조업,334,113617760,4,4
서한사(주),1,서울특별시 중구 장충동2가,1,551001,호텔업,166,40075920,0,49
롯데관광개발(주),1,서울특별시 종로구 세종로,1,602205,전세버스 운송업,298,77723480,0,3
한양증권(주),1,서울특별시 영등포구 여의도동,1,671202,증권 중개업,314,122052220,4,1
(주)SBI 저축은행,1,서울특별시 중구 수하동,1,659202,신용조합,582,208982800,8,3
중소기업중앙회,1,서울특별시 영등포구 여의도동,1,659202,신용조합,420,158954240,8,7
삼덕회계법인,1,서울특별시 종로구 견지동,1,741202,공인회계사업,765,255653080,26,17
(주)천일,1,서울특별시 강남구 도곡동,1,742104,기타 엔지니어링 서비스업,276,88766840,4,9
존슨콘트롤즈인터내셔널코리아 주식회사,1,서울특별시 중구 초동,1,291902,산업용 냉장 및 냉동장비 제조업,216,74551920,3,6
한양산업개발(주),1,서울특별시 광진구 자양동,1,451101,아파트 건설업,187,71737820,5,6
태진운수(주),1,서울특별시 성동구 성수동2가,1,602103,시내버스 운송업,218,77934040,0,0
(주)대원여객,1,서울특별시 성동구 성수동1가,1,602103,시내버스 운송업,517,183463480,2,5
(주)연합유리,1,경기도 안성시 원곡면,1, ,,138,37313640,5,4
(주)대원교통,1,서울특별시 성동구 성수동1가,1,602103,시내버스 운송업,317,112663120,6,2
