order_id,user_id,order_number,order_dow,order_hour_of_day,days_since_prior_order,product_id,add_to_cart_order,reordered,department_id
2539329,1,1,2,8,,196,1,0,7
2539329,1,1,2,8,,14084,2,0,16
2539329,1,1,2,8,,12427,3,0,19
2539329,1,1,2,8,,26088,4,0,19
2539329,1,1,2,8,,26405,5,0,17
2398795,1,2,3,7,15,196,1,1,7
2398795,1,2,3,7,15,10258,2,0,19
2398795,1,2,3,7,15,12427,3,1,19
2398795,1,2,3,7,15,13176,4,0,4
2398795,1,2,3,7,15,26088,5,1,19
2398795,1,2,3,7,15,13032,6,0,14
473747,1,3,3,12,21,196,1,1,7
473747,1,3,3,12,21,12427,2,1,19
473747,1,3,3,12,21,10258,3,1,19
473747,1,3,3,12,21,25133,4,0,16
473747,1,3,3,12,21,30450,5,0,13
2254736,1,4,4,7,29,196,1,1,7
2254736,1,4,4,7,29,12427,2,1,19
2254736,1,4,4,7,29,10258,3,1,19
2254736,1,4,4,7,29,25133,4,1,16
2254736,1,4,4,7,29,26405,5,1,17
431534,1,5,4,15,28,196,1,1,7
431534,1,5,4,15,28,12427,2,1,19
431534,1,5,4,15,28,10258,3,1,19
431534,1,5,4,15,28,25133,4,1,16
431534,1,5,4,15,28,10326,5,0,4
431534,1,5,4,15,28,17122,6,0,4
431534,1,5,4,15,28,41787,7,0,4
431534,1,5,4,15,28,13176,8,1,4
3367565,1,6,2,7,19,196,1,1,7
3367565,1,6,2,7,19,12427,2,1,19
3367565,1,6,2,7,19,10258,3,1,19
3367565,1,6,2,7,19,25133,4,1,16
550135,1,7,1,9,20,196,1,1,7
550135,1,7,1,9,20,10258,2,1,19
550135,1,7,1,9,20,12427,3,1,19
550135,1,7,1,9,20,25133,4,1,16
550135,1,7,1,9,20,13032,5,1,14
3108588,1,8,1,14,14,12427,1,1,19
3108588,1,8,1,14,14,196,2,1,7
3108588,1,8,1,14,14,10258,3,1,19
3108588,1,8,1,14,14,25133,4,1,16
3108588,1,8,1,14,14,46149,5,0,7
3108588,1,8,1,14,14,49235,6,0,16
2295261,1,9,1,16,0,49235,1,1,16
2295261,1,9,1,16,0,46149,2,1,7
2295261,1,9,1,16,0,25133,3,1,16
2295261,1,9,1,16,0,196,4,1,7
2295261,1,9,1,16,0,10258,5,1,19
2295261,1,9,1,16,0,12427,6,1,19
2550362,1,10,4,8,30,196,1,1,7
2550362,1,10,4,8,30,46149,2,1,7
2550362,1,10,4,8,30,39657,3,0,19
2550362,1,10,4,8,30,38928,4,0,16
2550362,1,10,4,8,30,25133,5,1,16
2550362,1,10,4,8,30,10258,6,1,19
2550362,1,10,4,8,30,35951,7,0,16
2550362,1,10,4,8,30,13032,8,1,14
2550362,1,10,4,8,30,12427,9,1,19
2168274,2,1,2,11,,32792,1,0,19
2168274,2,1,2,11,,47766,2,0,4
2168274,2,1,2,11,,20574,3,0,20
2168274,2,1,2,11,,12000,4,0,13
2168274,2,1,2,11,,48110,5,0,19
2168274,2,1,2,11,,22474,6,0,19
2168274,2,1,2,11,,16589,7,0,19
2168274,2,1,2,11,,35917,8,0,7
2168274,2,1,2,11,,27344,9,0,20
2168274,2,1,2,11,,30489,10,0,20
2168274,2,1,2,11,,27966,11,0,4
2168274,2,1,2,11,,13176,12,0,4
2168274,2,1,2,11,,45066,13,0,4
1501582,2,2,5,10,10,16797,1,0,4
1501582,2,2,5,10,10,47526,2,0,16
1501582,2,2,5,10,10,8479,3,0,19
1501582,2,2,5,10,10,47766,4,1,4
1501582,2,2,5,10,10,19051,5,0,19
1501582,2,2,5,10,10,8138,6,0,20
1901567,2,3,1,10,3,47766,1,1,4
1901567,2,3,1,10,3,32792,2,1,19
