년/월/일,종가,대비,거래량(주),거래대금(원),시가,고가,저가,시가총액(백만),상장주식수(주)
2020-10-22,"60,100",-800,"14,294,095","858,048,333,246","60,300","60,500","59,800","358,783,931","5,969,782,550"
2020-10-21,"60,900",0,"15,703,443","959,154,941,000","61,200","61,500","60,600","363,559,757","5,969,782,550"
2020-10-20,"60,900",900,"19,326,115","1,172,317,250,906","60,300","60,900","60,100","363,559,757","5,969,782,550"
2020-10-19,"60,000",500,"14,474,985","867,445,905,100","59,600","60,200","59,500","358,186,953","5,969,782,550"
2020-10-16,"59,500",-500,"16,554,190","987,630,872,630","60,000","60,400","59,000","355,202,062","5,969,782,550"
2020-10-15,"60,000",-900,"17,756,232","1,066,156,791,500","60,700","60,800","59,700","358,186,953","5,969,782,550"
2020-10-14,"60,900",0,"16,086,716","978,464,277,839","61,000","61,100","60,500","363,559,757","5,969,782,550"
2020-10-13,"60,900",500,"19,247,631","1,171,363,073,700","61,000","61,400","60,400","363,559,757","5,969,782,550"
2020-10-12,"60,400",700,"16,145,837","972,249,295,640","60,000","60,400","59,900","360,574,866","5,969,782,550"
2020-10-08,"59,700",-200,"24,589,924","1,473,634,246,833","60,500","60,700","59,500","356,396,018","5,969,782,550"
2020-10-07,"59,900",900,"14,861,838","881,415,107,100","58,700","59,900","58,500","357,589,975","5,969,782,550"
2020-10-06,"59,000",300,"14,463,826","856,996,117,132","59,400","59,900","58,700","352,217,170","5,969,782,550"
2020-10-05,"58,700",500,"20,228,289","1,183,456,525,264","57,500","59,200","57,500","350,426,236","5,969,782,550"
2020-09-29,"58,200",0,"15,503,563","906,226,742,600","58,300","59,000","58,200","347,441,344","5,969,782,550"
2020-09-28,"58,200",300,"12,614,080","736,197,322,600","58,300","58,800","57,900","347,441,344","5,969,782,550"
2020-09-25,"57,900",100,"11,444,683","662,845,003,372","57,700","58,200","57,700","345,650,410","5,969,782,550"
2020-09-24,"57,800",-800,"17,564,020","1,017,854,385,100","57,700","58,600","57,600","345,053,431","5,969,782,550"
2020-09-23,"58,600",400,"20,111,398","1,168,864,315,200","58,400","58,800","57,400","349,829,257","5,969,782,550"
2020-09-22,"58,200","-1,000","20,830,381","1,220,859,748,740","59,100","59,700","57,800","347,441,344","5,969,782,550"
2020-09-21,"59,200",-100,"15,140,387","901,307,763,394","59,100","60,000","59,000","353,411,127","5,969,782,550"
2020-09-18,"59,300",-200,"18,884,571","1,121,249,648,513","59,800","59,900","59,100","354,008,105","5,969,782,550"
2020-09-17,"59,500","-1,500","25,108,356","1,501,982,218,002","60,700","60,800","59,300","355,202,062","5,969,782,550"
2020-09-16,"61,000",0,"17,041,444","1,038,410,020,500","61,100","61,300","60,600","364,156,736","5,969,782,550"
2020-09-15,"61,000",600,"17,877,075","1,086,697,538,650","60,900","61,000","60,500","364,156,736","5,969,782,550"
2020-09-14,"60,400","1,400","20,648,281","1,245,767,959,295","60,200","60,800","59,900","360,574,866","5,969,782,550"
2020-09-11,"59,000",-200,"16,017,098","942,685,984,646","59,300","59,400","58,200","352,217,170","5,969,782,550"
2020-09-10,"59,200",800,"29,923,293","1,781,328,402,942","59,900","60,000","59,100","353,411,127","5,969,782,550"
2020-09-09,"58,400",-300,"30,597,399","1,791,534,297,254","58,200","59,300","57,800","348,635,301","5,969,782,550"
2020-09-08,"58,700","2,200","31,517,520","1,832,705,754,500","57,400","58,700","57,200","350,426,236","5,969,782,550"
2020-09-07,"56,500",900,"18,685,880","1,056,350,331,000","56,100","57,300","55,800","337,292,714","5,969,782,550"
2020-09-04,"55,600",-800,"22,139,109","1,228,386,611,600","55,200","55,800","55,100","331,919,910","5,969,782,550"
2020-09-03,"56,400","2,000","28,384,920","1,598,059,625,582","55,600","56,700","55,500","336,695,736","5,969,782,550"
2020-09-02,"54,400",200,"16,905,723","922,056,312,614","54,600","55,100","54,100","324,756,171","5,969,782,550"
2020-09-01,"54,200",200,"19,363,117","1,052,420,037,800","54,100","54,800","54,100","323,562,214","5,969,782,550"
2020-08-31,"54,000","-1,400","32,671,367","1,786,245,513,500","56,000","56,100","54,000","322,368,258","5,969,782,550"
2020-08-28,"55,400",-200,"14,619,888","815,588,008,400","56,100","56,300","55,400","330,725,953","5,969,782,550"
2020-08-27,"55,600",-800,"16,196,568","903,860,902,050","56,300","56,300","55,600","331,919,910","5,969,782,550"
2020-08-26,"56,400",0,"17,651,593","989,962,031,580","56,400","56,500","55,700","336,695,736","5,969,782,550"
2020-08-25,"56,400",300,"14,021,705","790,968,401,812","56,400","56,800","56,100","336,695,736","5,969,782,550"
2020-08-24,"56,100",200,"15,055,896","843,921,714,200","55,800","56,600","55,400","334,904,801","5,969,782,550"
2020-08-21,"55,900",500,"21,142,288","1,190,753,262,800","56,200","56,900","55,800","333,710,845","5,969,782,550"
2020-08-20,"55,400","-2,400","30,386,029","1,709,571,902,444","57,600","57,600","55,300","330,725,953","5,969,782,550"
2020-08-19,"57,800",-600,"16,930,719","988,995,651,300","59,000","59,200","57,800","345,053,431","5,969,782,550"
2020-08-18,"58,400",400,"25,307,825","1,490,616,755,852","58,900","59,900","58,000","348,635,301","5,969,782,550"
2020-08-14,"58,000",-700,"15,672,548","909,052,518,800","58,000","58,400","57,700","346,247,388","5,969,782,550"
2020-08-13,"58,700",-300,"22,089,460","1,300,659,649,700","59,400","59,600","58,000","350,426,236","5,969,782,550"
2020-08-12,"59,000",800,"18,573,934","1,083,108,188,236","58,200","59,000","57,700","352,217,170","5,969,782,550"
2020-08-11,"58,200",400,"24,907,912","1,462,107,447,200","58,000","59,500","57,800","347,441,344","5,969,782,550"
2020-08-10,"57,800",300,"17,774,291","1,029,079,820,059","57,600","58,300","57,500","345,053,431","5,969,782,550"
2020-08-07,"57,500",-500,"18,751,717","1,081,791,206,100","57,900","58,400","57,100","343,262,497","5,969,782,550"
2020-08-06,"58,000","1,100","21,625,874","1,250,813,614,044","57,100","58,400","57,100","346,247,388","5,969,782,550"
2020-08-05,"56,900",-400,"17,739,706","1,007,826,798,950","57,300","57,500","56,300","339,680,627","5,969,782,550"
2020-08-04,"57,300",500,"19,419,694","1,115,746,295,800","57,200","58,100","57,000","342,068,540","5,969,782,550"
2020-08-03,"56,800","-1,100","21,158,940","1,209,657,414,100","57,800","57,900","56,700","339,083,649","5,969,782,550"
2020-07-31,"57,900","-1,100","21,943,345","1,282,932,055,676","59,500","59,600","57,700","345,650,410","5,969,782,550"
2020-07-30,"59,000",0,"19,285,354","1,147,803,957,700","59,700","60,100","59,000","352,217,170","5,969,782,550"
2020-07-29,"59,000",400,"36,476,611","2,169,959,308,582","60,300","60,400","58,600","352,217,170","5,969,782,550"
2020-07-28,"58,600","3,000","48,431,566","2,803,148,376,939","57,000","58,800","56,400","349,829,257","5,969,782,550"
2020-07-27,"55,600","1,400","21,054,421","1,165,206,653,173","54,300","55,700","54,300","331,919,910","5,969,782,550"
2020-07-24,"54,200",100,"10,994,535","594,537,647,200","54,000","54,400","53,700","323,562,214","5,969,782,550"
2020-07-23,"54,100",-600,"16,214,932","876,160,340,400","54,700","54,700","53,800","322,965,236","5,969,782,550"
2020-07-22,"54,700",-600,"12,885,057","708,749,076,605","55,300","55,500","54,700","326,547,105","5,969,782,550"
2020-07-21,"55,300","1,100","18,297,260","1,009,862,822,645","55,200","55,400","54,800","330,128,975","5,969,782,550"
2020-07-20,"54,200",-200,"10,507,530","571,387,369,575","54,800","54,800","54,000","323,562,214","5,969,782,550"
2020-07-17,"54,400",600,"10,096,174","549,370,576,992","54,200","54,700","54,100","324,756,171","5,969,782,550"
2020-07-16,"53,800",-900,"16,779,127","909,095,378,660","54,800","54,800","53,800","321,174,301","5,969,782,550"
2020-07-15,"54,700",900,"24,051,450","1,317,316,063,250","54,400","55,000","54,300","326,547,105","5,969,782,550"
2020-07-14,"53,800",400,"14,269,484","763,627,089,664","53,700","53,800","53,200","321,174,301","5,969,782,550"
2020-07-13,"53,400",700,"12,240,188","654,721,870,500","53,300","53,800","53,100","318,786,388","5,969,782,550"
2020-07-10,"52,700",-100,"13,714,746","722,449,635,016","53,100","53,200","52,300","314,607,540","5,969,782,550"
2020-07-09,"52,800",-200,"17,054,850","906,942,878,150","53,200","53,600","52,800","315,204,519","5,969,782,550"
2020-07-08,"53,000",-400,"19,664,652","1,049,005,171,762","53,600","53,900","52,900","316,398,475","5,969,782,550"
2020-07-07,"53,400","-1,600","30,760,032","1,672,753,640,892","55,800","55,900","53,400","318,786,388","5,969,782,550"
2020-07-06,"55,000","1,400","19,856,623","1,084,003,637,100","54,000","55,000","53,800","328,338,040","5,969,782,550"
2020-07-03,"53,600",700,"11,887,868","633,333,112,600","53,000","53,600","52,700","319,980,345","5,969,782,550"
2020-07-02,"52,900",300,"14,142,583","742,668,048,500","52,100","52,900","52,100","315,801,497","5,969,782,550"
2020-07-01,"52,600",-200,"16,706,143","884,144,616,500","53,400","53,600","52,400","314,010,562","5,969,782,550"
2020-06-30,"52,800",400,"21,157,172","1,129,431,038,800","53,900","53,900","52,800","315,204,519","5,969,782,550"
2020-06-29,"52,400",-900,"17,776,925","934,880,364,880","52,500","53,200","52,000","312,816,606","5,969,782,550"
2020-06-26,"53,300","1,400","21,575,360","1,146,335,751,523","52,800","53,900","52,200","318,189,410","5,969,782,550"
2020-06-25,"51,900","-1,000","18,541,624","970,494,909,540","52,100","53,000","51,900","309,831,714","5,969,782,550"
2020-06-24,"52,900","1,500","24,519,552","1,301,305,533,100","51,900","53,900","51,600","315,801,497","5,969,782,550"
2020-06-23,"51,400",-600,"18,086,152","937,055,386,584","52,500","52,800","51,100","306,846,823","5,969,782,550"
2020-06-22,"52,000",-900,"13,801,350","720,717,590,485","52,000","52,600","51,800","310,428,693","5,969,782,550"
2020-06-19,"52,900",600,"18,157,985","950,404,357,573","52,600","52,900","51,600","315,801,497","5,969,782,550"
2020-06-18,"52,300",100,"15,982,926","830,793,475,311","52,200","52,300","51,600","312,219,627","5,969,782,550"
2020-06-17,"52,200",100,"26,672,595","1,390,772,012,000","52,100","52,900","51,300","311,622,649","5,969,782,550"
2020-06-16,"52,100","2,200","21,808,375","1,124,878,770,600","51,200","52,100","50,600","311,025,671","5,969,782,550"
2020-06-15,"49,900","-2,400","28,772,921","1,468,000,064,800","51,400","52,000","49,900","297,892,149","5,969,782,550"
2020-06-12,"52,300","-2,000","26,976,019","1,410,310,719,795","52,100","52,800","51,500","312,219,627","5,969,782,550"
2020-06-11,"54,300","-1,100","33,815,123","1,832,273,837,760","54,500","55,100","53,200","324,159,192","5,969,782,550"
2020-06-10,"55,400",-100,"16,742,493","927,393,114,690","55,100","55,900","54,900","330,725,953","5,969,782,550"
2020-06-09,"55,500",600,"23,998,831","1,326,558,066,100","55,800","56,500","54,400","331,322,932","5,969,782,550"
2020-06-08,"54,900",-600,"25,634,965","1,418,831,067,805","56,400","56,500","54,700","327,741,062","5,969,782,550"
2020-06-05,"55,500",900,"22,743,629","1,254,429,842,650","54,400","55,900","54,000","331,322,932","5,969,782,550"
2020-06-04,"54,600",100,"40,220,334","2,236,419,728,472","55,800","57,000","54,600","325,950,127","5,969,782,550"
2020-06-03,"54,500","3,100","49,257,814","2,655,435,431,458","51,800","55,000","51,700","325,353,149","5,969,782,550"
2020-06-02,"51,400",200,"14,247,933","730,124,279,860","51,000","51,500","50,800","306,846,823","5,969,782,550"
2020-06-01,"51,200",500,"16,949,183","864,647,248,100","50,800","51,200","50,600","305,652,867","5,969,782,550"
2020-05-29,"50,700",300,"27,596,961","1,390,445,842,147","50,000","50,700","49,700","302,667,975","5,969,782,550"
2020-05-28,"50,400",500,"31,309,318","1,585,346,422,778","51,100","51,200","49,900","300,877,041","5,969,782,550"
2020-05-27,"49,900",650,"19,548,479","969,951,903,266","48,950","50,000","48,800","297,892,149","5,969,782,550"
2020-05-26,"49,250",400,"15,127,490","742,843,644,150","48,700","49,450","48,600","294,011,791","5,969,782,550"
2020-05-25,"48,850",100,"14,337,913","698,563,353,200","48,750","48,900","48,450","291,623,878","5,969,782,550"
2020-05-22,"48,750","-1,200","19,706,284","965,729,655,667","49,600","49,800","48,600","291,026,899","5,969,782,550"
2020-05-21,"49,950",-50,"14,949,266","748,343,432,800","50,300","50,400","49,850","298,190,638","5,969,782,550"
2020-05-20,"50,000",-300,"14,896,899","744,469,755,655","50,000","50,200","49,800","298,489,128","5,969,782,550"
2020-05-19,"50,300","1,500","25,168,295","1,261,317,730,005","50,100","50,500","49,700","300,280,062","5,969,782,550"
2020-05-18,"48,800",950,"20,481,981","995,409,039,450","47,950","49,100","47,600","291,325,388","5,969,782,550"
2020-05-15,"47,850",-150,"18,463,118","887,550,446,744","48,400","48,450","47,700","285,654,095","5,969,782,550"
2020-05-14,"48,000",-550,"19,305,974","924,043,501,923","47,750","48,100","47,650","286,549,562","5,969,782,550"
2020-05-13,"48,550",650,"20,223,277","966,405,911,050","47,250","48,550","47,200","289,832,943","5,969,782,550"
2020-05-12,"47,900",-500,"23,433,590","1,122,420,047,086","48,400","48,500","47,550","285,952,584","5,969,782,550"
2020-05-11,"48,400",-400,"16,357,743","797,523,862,042","48,900","49,250","48,300","288,937,475","5,969,782,550"
2020-05-08,"48,800",0,"15,319,700","752,271,196,120","49,100","49,350","48,800","291,325,388","5,969,782,550"
2020-05-07,"48,800",-400,"13,884,411","679,668,516,460","49,200","49,300","48,700","291,325,388","5,969,782,550"
2020-05-06,"49,200",700,"18,070,225","882,453,648,920","49,000","49,200","48,500","293,713,301","5,969,782,550"
2020-05-04,"48,500","-1,500","26,083,749","1,270,816,552,521","48,900","49,100","48,500","289,534,454","5,969,782,550"
2020-04-29,"50,000",-100,"15,604,533","780,706,354,100","49,900","50,500","49,600","298,489,128","5,969,782,550"
2020-04-28,"50,100",250,"16,095,399","800,260,923,102","49,850","50,100","49,300","299,086,106","5,969,782,550"
2020-04-27,"49,850",500,"14,049,471","697,230,549,360","49,350","50,000","49,100","297,593,660","5,969,782,550"
2020-04-24,"49,350",-500,"15,618,347","771,212,431,650","49,650","49,750","49,000","294,608,769","5,969,782,550"
2020-04-23,"49,850",0,"18,754,442","936,174,022,950","50,200","50,300","49,500","297,593,660","5,969,782,550"
2020-04-22,"49,850",600,"18,613,864","912,223,008,750","48,700","50,000","48,350","297,593,660","5,969,782,550"
2020-04-21,"49,250",-850,"27,407,543","1,347,414,680,188","49,400","49,700","48,700","294,011,791","5,969,782,550"
2020-04-20,"50,100","-1,300","21,866,354","1,106,551,694,407","51,400","51,400","50,000","299,086,106","5,969,782,550"
2020-04-17,"51,400","2,400","32,041,675","1,641,068,274,800","50,800","52,000","50,300","306,846,823","5,969,782,550"
2020-04-16,"49,000",0,"23,349,760","1,143,759,563,262","49,350","49,350","48,550","292,519,345","5,969,782,550"
2020-04-14,"49,000",700,"14,206,216","694,513,122,356","48,800","49,200","48,300","292,519,345","5,969,782,550"
2020-04-13,"48,300",-950,"14,431,800","700,511,423,000","48,650","48,900","48,300","288,340,497","5,969,782,550"
2020-04-10,"49,250",150,"17,839,111","872,177,014,700","48,950","49,250","48,650","294,011,791","5,969,782,550"
2020-04-09,"49,100",500,"22,628,058","1,111,936,132,700","49,750","49,800","48,700","293,116,323","5,969,782,550"
2020-04-08,"48,600","-1,000","25,010,314","1,230,375,023,250","49,600","49,750","48,600","290,131,432","5,969,782,550"
2020-04-07,"49,600",900,"31,524,034","1,561,332,868,425","49,650","50,200","49,000","296,101,214","5,969,782,550"
2020-04-06,"48,700","1,700","23,395,726","1,123,253,804,353","47,500","48,800","47,250","290,728,410","5,969,782,550"
2020-04-03,"47,000",200,"22,784,682","1,074,179,776,900","47,400","47,600","46,550","280,579,780","5,969,782,550"
2020-04-02,"46,800","1,000","21,621,076","997,831,026,144","46,200","46,850","45,350","279,385,823","5,969,782,550"
2020-04-01,"45,800","-1,950","27,259,532","1,282,482,561,850","47,450","47,900","45,800","273,416,041","5,969,782,550"
2020-03-31,"47,750",-100,"30,654,261","1,467,323,482,646","48,000","48,500","47,150","285,057,117","5,969,782,550"
2020-03-30,"47,850",-450,"26,797,395","1,268,118,958,800","47,050","48,350","46,550","285,654,095","5,969,782,550"
2020-03-27,"48,300",500,"39,896,178","1,931,405,584,780","49,600","49,700","46,850","288,340,497","5,969,782,550"
2020-03-26,"47,800",-850,"42,185,129","2,044,314,125,302","49,000","49,300","47,700","285,355,606","5,969,782,550"
2020-03-25,"48,650","1,700","52,735,922","2,552,010,175,155","48,950","49,600","47,150","290,429,921","5,969,782,550"
2020-03-24,"46,950","4,450","49,801,908","2,254,620,196,840","43,850","46,950","43,050","280,281,291","5,969,782,550"
2020-03-23,"42,500","-2,900","41,701,626","1,789,671,838,540","42,600","43,550","42,400","253,715,758","5,969,782,550"
2020-03-20,"45,400","2,450","49,730,008","2,221,272,156,100","44,150","45,500","43,550","271,028,128","5,969,782,550"
2020-03-19,"42,950","-2,650","56,925,513","2,502,939,391,663","46,400","46,650","42,300","256,402,161","5,969,782,550"
2020-03-18,"45,600","-1,700","40,152,623","1,896,703,404,150","47,750","48,350","45,600","272,222,084","5,969,782,550"
2020-03-17,"47,300","-1,600","51,218,151","2,453,541,661,000","46,900","49,650","46,700","282,370,715","5,969,782,550"
2020-03-16,"48,900","-1,050","33,339,821","1,657,128,732,300","50,100","50,900","48,800","291,922,367","5,969,782,550"
2020-03-13,"49,950",-850,"59,462,933","2,902,883,152,100","47,450","51,600","46,850","298,190,638","5,969,782,550"
2020-03-12,"50,800","-1,300","48,149,999","2,436,965,909,150","51,000","51,900","49,300","303,264,954","5,969,782,550"
2020-03-11,"52,100","-2,500","45,707,281","2,425,785,996,150","54,300","54,400","52,000","311,025,671","5,969,782,550"
2020-03-10,"54,600",400,"32,106,554","1,744,478,326,491","53,800","54,900","53,700","325,950,127","5,969,782,550"
2020-03-09,"54,200","-2,300","30,261,485","1,642,720,550,800","54,700","55,000","53,600","323,562,214","5,969,782,550"
2020-03-06,"56,500","-1,300","18,716,656","1,058,857,640,100","56,500","57,200","56,200","337,292,714","5,969,782,550"
2020-03-05,"57,800",400,"21,698,990","1,245,378,832,100","57,600","58,000","56,700","345,053,431","5,969,782,550"
2020-03-04,"57,400","2,000","24,765,728","1,405,494,544,044","54,800","57,600","54,600","342,665,518","5,969,782,550"
2020-03-03,"55,400",400,"30,330,295","1,702,259,497,750","56,700","56,900","55,100","330,725,953","5,969,782,550"
2020-03-02,"55,000",800,"30,403,412","1,665,341,867,719","54,300","55,500","53,600","328,338,040","5,969,782,550"
2020-02-28,"54,200","-1,700","30,054,227","1,642,134,682,946","55,000","55,500","54,200","323,562,214","5,969,782,550"
2020-02-27,"55,900",-600,"23,209,541","1,301,501,421,886","56,300","56,900","55,500","333,710,845","5,969,782,550"
2020-02-26,"56,500","-1,400","25,483,102","1,440,950,384,200","56,000","57,000","56,000","337,292,714","5,969,782,550"
2020-02-25,"57,900","1,100","23,885,408","1,368,868,270,940","56,200","58,000","56,200","345,650,410","5,969,782,550"
2020-02-24,"56,800","-2,400","25,627,537","1,470,408,487,400","57,400","58,100","56,800","339,083,649","5,969,782,550"
2020-02-21,"59,200",-800,"13,777,393","817,158,847,200","58,800","59,800","58,500","353,411,127","5,969,782,550"
2020-02-20,"60,000",-200,"14,591,924","880,828,906,700","60,700","61,300","59,600","358,186,953","5,969,782,550"
2020-02-19,"60,200",400,"12,951,496","775,714,875,900","59,800","60,400","59,400","359,380,910","5,969,782,550"
2020-02-18,"59,800","-1,700","16,674,266","1,004,070,367,400","60,800","60,900","59,700","356,992,996","5,969,782,550"
2020-02-17,"61,500",-300,"8,740,596","538,520,786,200","61,600","62,000","61,200","367,141,627","5,969,782,550"
2020-02-14,"61,800","1,100","13,276,067","814,138,135,400","60,900","61,900","60,200","368,932,562","5,969,782,550"
2020-02-13,"60,700",200,"18,449,775","1,127,648,710,000","61,200","61,600","60,500","362,365,801","5,969,782,550"
2020-02-12,"60,500",600,"12,904,207","776,552,625,500","60,300","60,700","59,700","361,171,844","5,969,782,550"
2020-02-11,"59,900",200,"11,071,231","665,611,292,200","59,800","60,700","59,700","357,589,975","5,969,782,550"
2020-02-10,"59,700",-700,"13,107,121","779,716,562,160","59,200","59,800","59,100","356,396,018","5,969,782,550"
2020-02-07,"60,400",-700,"16,402,493","989,081,174,058","61,100","61,200","59,700","360,574,866","5,969,782,550"
2020-02-06,"61,100","1,600","14,727,159","889,351,613,760","60,100","61,100","59,700","364,753,714","5,969,782,550"
2020-02-05,"59,500",600,"19,278,165","1,147,948,101,875","60,000","60,200","58,900","355,202,062","5,969,782,550"
2020-02-04,"58,900","1,700","21,800,192","1,271,098,154,792","57,100","59,000","56,800","351,620,192","5,969,782,550"
2020-02-03,"57,200",800,"23,995,260","1,354,043,037,985","55,500","57,400","55,200","341,471,562","5,969,782,550"
2020-01-31,"56,400",-800,"19,749,457","1,132,894,868,886","57,800","58,400","56,400","336,695,736","5,969,782,550"
2020-01-30,"57,200","-1,900","20,821,939","1,202,914,994,182","58,800","58,800","56,800","341,471,562","5,969,782,550"
2020-01-29,"59,100",300,"16,446,102","975,344,481,100","59,100","59,700","58,800","352,814,149","5,969,782,550"
2020-01-28,"58,800","-2,000","23,664,541","1,394,361,672,900","59,400","59,400","58,300","351,023,214","5,969,782,550"
2020-01-23,"60,800","-1,500","14,916,555","912,319,470,070","61,800","61,800","60,700","362,962,779","5,969,782,550"
2020-01-22,"62,300",900,"15,339,565","943,882,357,729","60,500","62,600","60,400","371,917,453","5,969,782,550"
